Date,Nifty Bank,Nifty IT,Nifty FMCG,Nifty Auto,Nifty Pharma,Nifty Metal,Nifty Realty,Nifty Energy,Nifty Infra,Nifty PSU Bank,Nifty MNC,Nifty Service,Nifty Media,Nifty Commodities
2012-01-06,97.88516888754704,104.97144386619574,102.85871299192063,99.2435946183674,101.56391014996197,97.11964658572867,94.13997392274064,99.25247514383747,93.9232484883599,95.73685695897258,101.18294156118418,100.45102604577127,99.81595568631174,99.07338899094415
2012-01-09,97.83100770970894,104.96779505710344,102.988682762403,99.2277875287813,101.55362968880367,96.91445534813047,93.95284892702307,99.333548709194,93.85958672680395,95.16283876612681,101.38262342608915,100.45663505644082,99.59918756745085,98.9742903740977
2012-01-10,97.79020205694026,104.90271707433166,103.0892825876118,99.22541169625256,101.59928304695924,96.73558796184375,93.82667299358772,99.39348236522112,93.90848775901796,94.67190736627448,101.57041658316028,100.4526240864036,99.42071893306999,98.87750381866665
2012-01-11,97.78143326277696,104.7904274590168,103.12805118640621,99.22024894652544,101.6562399949418,96.63506308327253,93.78217813430717,99.415878189876,94.04986285545495,94.26109759653346,101.72163321310722,100.44582160636712,99.26104320646765,98.78741109895715
2012-01-12,97.83426730460074,104.5930428230082,103.08518970966988,99.21580794781245,101.7064364353747,96.64093141457633,93.82580772879358,99.40988375917479,94.29247255760448,93.97320246861754,101.82717955743877,100.4428862900288,99.12298917443557,98.72478279413102
2012-01-13,97.96150800800088,104.29926635499348,102.94760092846899,99.20258443176049,101.7429948058902,96.74280168055334,93.96841429942262,99.3622425858088,94.6422938725208,93.82237277004563,101.88341756622458,100.4285979018397,99.02273879514576,98.68715010511394
2012-01-16,98.15894431192692,103.92792914489802,102.72163495245567,99.19796803303974,101.73892137932941,96.96521865867483,94.23640261278959,99.27806254526921,95.1102163543517,93.8347102384082,101.89660962772021,100.41945258656334,98.96782799797536,98.68354866271495
2012-01-17,98.42940482870178,103.47956267145453,102.41188891432436,99.21922733984799,101.70183187376608,97.32023861926254,94.61582676416754,99.15904826376195,95.66206264977772,94.02490548825969,101.87775047591518,100.41210619831612,98.94390656491416,98.70907378190404
2012-01-18,98.77662810246599,102.95406715424235,102.01877651762008,99.24025990998791,101.62278833823494,97.79038888118393,95.13033933003747,99.03150091497194,96.28824955736957,94.38892282442883,101.8171177513793,100.40499640625967,98.92969426724939,98.78029987107837
2012-01-19,99.19737126279018,102.37633965769069,101.542354675265,99.24753709782384,101.4998405610523,98.3646352273408,95.79303320765709,98.89677867897903,96.9671514137046,94.89854847639778,101.71221627175827,100.40112809014977,98.90446012122881,98.88755412473367
2012-01-20,99.68878860745463,101.72673849025942,101.01898414579036,99.28290409313836,101.35031369793204,99.06176642755545,96.63781969594773,98.77462603074898,97.71794145831515,95.57155045702659,101.5870574943876,100.41450508817469,98.87713352934698,99.04904457488377
2012-01-23,100.24620269002675,101.01407103238309,100.47096345861003,99.33201844552221,101.1736835577262,99.79609761198208,97.60210684172314,98.64044581764922,98.51139519133544,96.36995241391654,101.43327657860549,100.42179522654719,98.84860395900387,99.22647483922957
2012-01-24,100.84825210690676,100.23615545347971,99.90968726422183,99.37372570723264,100.95649088638065,100.5624047041523,98.67847704088088,98.50729236177473,99.33255183641029,97.28281506232324,101.25073285725105,100.41375690759621,98.80525907340304,99.41897413147107
2012-01-25,101.46235093054737,99.42343310516421,99.34689400572195,99.41927294164066,100.7289682198871,101.37626465863106,99.86482192345821,98.39933488635367,100.1543806844547,98.28412463507355,101.0575190997861,100.39363886642874,98.76582597576676,99.64946993724354
2012-01-27,102.0385991051585,98.58712757276497,98.78995111537556,99.4972753918157,100.49522423503424,102.24264166976135,101.12276888139392,98.3354738790329,100.98587250058472,99.32748566313919,100.87123563465676,100.34761749281063,98.74833359246728,99.92922415427951
2012-01-30,102.57522218130313,97.73797447127481,98.26589250737152,99.59718061555843,100.25067140805449,103.12159058708664,102.39104618994529,98.31649558350988,101.769226405776,100.38071115781834,100.6986243176475,100.2817939605134,98.74770441974486,100.23689872894383
2012-01-31,103.10167107595417,96.88106794779381,97.75405138933651,99.70548049422112,99.9763048115599,103.99098595709772,103.61237823334488,98.33996818127574,102.4863958034306,101.42146705747697,100.53791780039195,100.2113774204297,98.7564987046693,100.56336342881279
2012-02-01,103.61505624538695,96.01113434416129,97.27129886553726,99.83548993483143,99.67728509635121,104.81378848119586,104.74566912846309,98.4058179948325,103.14490429568419,102.45318437055786,100.3946907538409,100.1366518811185,98.7810889447732,100.91565725766529
2012-02-02,104.07363749565046,95.21397460385052,96.80773291364146,99.97667339260842,99.34093802977877,105.56046354130028,105.78802973132464,98.50299550727689,103.73671248066864,103.41394647768143,100.26521437668114,100.05955308755397,98.7914308476452,101.26701147894265
